rumah,alamat,harga,temppat_tidur,luas_bangunan,luas_lahan
DM Village Banguntapan,"Banguntapan, Bantul",Rp 804.000.000,3,72,75
Rumah baru DP ringan,"Godean, Sleman",Rp 1.285.000.000,3,75,110
"RUMAH MURAH dijual di Sleman, Yogya, 10 mnt dr Superindo/Mall","Sleman, Sleman",Rp 3.100.000.000,5,385,763
PERUMAHAN BALEGONG RESIDENCE,Sleman,Rp 1.850.000.000,4,125,164
RUMAH DIJUAL DI SIDOARUM-GODEAN-SLEMAN-YOGYAKARTA,"Godean, Sleman",Rp 2.750.000.000,7,300,176
Rumah dekat UII kaliurang,"Ngaglik, Sleman",Rp 689.500.000,2,45,93
Rumah baru tanpa DP lokasi strategis di Sleman jogja,"Gamping, Sleman",Rp 685.000.000,2,36,91
Prambanan Forest,"Prambanan, Sleman",Rp 395.000.000,2,36,72
Rumah Baru tipe 80 LT 140 m dalam Cluster di Pinggir Jogja Free BPHTB,"Godean, Sleman",Rp 667.000.000,3,80,140
Rumah murah real eastat,"Playen, Gunung Kidul",Rp 150.500.000,2,30,60
Rumah baru di Sleman Jogja strategis dekat kampus,"Gamping, Sleman",Rp 684.000.000,2,36,91
Rumah 2 lantai bonus furnish lokasi strategis 18 menit ke mall amplaz,"Banguntapan, Bantul",Rp 1.300.000.000,3,80,120
Rumah baru lokasi strategis dekat kampus UMY 15 menit ke tugu jogja,"Sleman, Sleman",Rp 685.000.000,2,36,91
Rumah Siap Huni Samping Komplek Pemda Kota Bantul Jogja Bagian Selatan,"Bantul, Bantul",Rp 350.000.000,2,44,77
DIJUAL RUMAH DAERAH IMOGIRI BARAT,"Imogiri, Bantul",Rp 699.000.000,3,72,72
Dijual Rumah Perumahan DM Village Tamantirto,"Kasihan, Bantul",Rp 1.084.470.000,3,90,82
DM Village Tamantirto Type 72,"Kasihan, Bantul",Rp 799.000.000,3,72,72
Jual rumah  Dekat kampus UMY Promo Terbatas  sleman,"Gamping, Sleman",Rp 575.400.000,2,40,80
